name,address,img,website,phone_number,reviews_count,reviews_average,latitude,longitude
Ministry Of Bar Exchange - Lounge Bar in Chandigarh ,,,,,,,30.7528168,76.4042455
"Ministry of Bar Exchange - Lounge Bar in Elante, Chandigarh ","41, Madhya Marg, Sector 26, Chandigarh, 160022",,facebook.com,073470 47005,,4.2,30.7528168,76.4042455
Bali's Rooftop Lounge - Bar & Lounge In Chandigarh - Best Restaurant In Chandigarh ,"156-157 Sector- 9 C, Chandigarh 160019",,,084230 00900,,4.2,30.7528168,76.4042455
Peddlers ,"Hotel Oyster SCO: 1-2-3, Sector 17A, Chandigarh, 160017",,balis17.com,098784 30460,,4.4,30.7528168,76.4042455
Grapho 07,"Hotel Heritage, SCO 467 & 468, 35C, Sector 35, Chandigarh, 160022",,,092164 52021,,4.1,30.7528168,76.4042455
The Jungle Bar ,"Hotel Heritage, SCO 467 & 468, 35C, Sector 35, Chandigarh, 160022",,,092164 52021,,4.1,30.7528168,76.4042455
THE TIPSY BULLS,"Kalagram, Railway Colony, Sector 13, Chandigarh, 160101",,,098030 17836,,4.2,30.7528168,76.4042455
DRYP Bar & Lounge ,"Kalagram, Railway Colony, Sector 13, Chandigarh, 160101",,,098030 17836,,4.2,30.7528168,76.4042455
Wild West Pub and Bar,"SCO 120 - 121, Sector 8C, Sector 8, Chandigarh, 160009",,,,,4.1,30.7528168,76.4042455
Beach N Brew ,"SCO 120 - 121, Sector 8C, Sector 8, Chandigarh, 160009",,,,,4.1,30.7528168,76.4042455
The Back Room ,"SCO 165-167, 34A, Chandigarh, 160022",,,080547 04365,,4.2,30.7528168,76.4042455
Purple Frog ,"SCO 165-167, 34A, Chandigarh, 160022",,,080547 04365,,4.1,30.7528168,76.4042455
